أ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ب,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
ت,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
ث,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ج,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
ح,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
خ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
د,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ذ,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
ر,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ز,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
س,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ش,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
ص,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ض,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
ط,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ظ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
ع,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
غ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
ف,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
ق,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
ك,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ل,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
م,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ن,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
ه,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
و,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ي,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ء,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ى,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ئ,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ؤ,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ة,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
ا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
